AMP	DEL	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	RNA	Splice_Site	Translation_Start_Site
KANSL3	0	0	0	0	1	0	43	0	0	0	1	0
KAT2B	0	0	2	1	1	0	49	6	0	0	5	0
KAT5	0	1	2	2	1	0	31	0	0	0	2	0
KAT6A	0	0	2	0	0	0	120	12	0	0	3	0
KAT6B	0	0	8	0	4	0	87	3	1	0	0	0
KAT7	0	0	0	2	0	0	42	1	0	0	1	0
KAT8	0	0	0	0	1	0	39	1	0	0	0	0
KDM1A	0	0	1	2	0	0	28	6	0	0	1	0
KDM1B	0	0	3	1	0	0	33	3	0	0	1	0
KDM2A	0	0	2	0	0	0	57	3	0	0	3	0
KDM3A	0	0	6	1	0	1	58	4	0	0	2	0
KDM3B	0	0	11	3	2	0	116	11	0	0	3	0
KDM4A	0	0	3	1	1	0	52	4	0	0	3	0
KDM4B	0	0	1	1	0	0	59	0	0	0	2	0
KDM4C	0	1	3	0	0	0	53	6	0	0	3	0
KDM4D	0	0	2	1	2	0	30	4	1	0	0	0
KDM5A	0	2	7	1	3	0	86	8	0	0	2	0
KDM5B	0	0	3	0	0	0	92	13	0	0	3	0
KDM5D	0	0	0	0	0	0	21	2	0	0	1	0
KDM6A	0	0	37	27	1	1	92	54	0	0	39	0
KDM6B	0	0	10	1	0	0	92	4	0	0	2	0
KDM7A	0	0	6	2	0	0	54	1	0	0	2	0
KEAP1	0	0	14	6	3	0	175	13	0	0	4	0
KIAA0101	0	0	0	0	0	0	11	1	0	0	1	0
KIF18A	0	0	1	0	1	0	46	3	0	0	3	0
KIF20A	0	0	0	0	0	0	31	5	0	0	0	0
KIF23	0	0	3	0	0	0	48	1	0	0	1	0
KIF2A	0	0	3	0	1	0	29	2	0	0	2	0
KIF2B	0	0	5	3	0	0	191	10	0	0	0	0
KIF2C	0	0	0	0	0	0	43	1	0	0	2	0
KIT	26	0	0	0	1	1	122	5	0	0	6	0
KLF5	69	0	0	0	1	1	51	4	0	0	0	0
KMT2C	0	1	73	27	2	0	428	133	1	0	23	0
KMT2D	0	1	129	41	14	2	393	184	0	0	37	0
KMT2E	0	0	15	6	3	0	114	11	0	0	2	0
KNTC1	0	0	11	2	0	0	105	4	0	0	8	0
KRAS	211	0	0	0	0	2	623	2	0	0	0	0
KRT222	0	0	2	1	1	0	19	4	0	0	2	0
LCMT1	0	3	0	0	0	0	23	4	0	0	2	0
LEMD2	0	0	1	1	0	0	22	0	0	0	1	0
LEMD3	0	0	1	0	1	0	28	9	0	0	0	0
LIG1	0	0	1	1	1	0	59	2	0	0	2	0
LIG3	0	0	1	2	0	0	46	3	0	0	0	0
LIG4	0	0	2	0	0	0	68	7	0	0	0	0
LIN37	0	0	1	0	0	0	17	0	0	0	1	0
LIN52	0	0	0	0	0	0	2	0	0	0	0	0
LIN54	0	0	0	0	0	0	37	2	0	0	1	0
LIN9	0	0	3	0	1	0	36	2	0	0	3	0
LMNA	0	0	1	2	2	0	33	2	0	0	3	0
LMNB1	0	0	0	1	2	0	18	2	0	0	0	0
LPIN1	0	0	3	0	1	0	53	4	0	0	1	0
LPIN2	0	0	2	0	1	0	63	2	0	0	2	0
LPIN3	0	0	0	3	0	0	39	1	0	0	3	0
LYN	0	0	4	0	0	0	49	4	0	0	2	0
MACF1	53	0	0	0	1	0	280	19	0	0	16	0
MAD1L1	0	0	1	0	0	0	55	2	0	0	0	0
MAD2L1	0	0	0	0	0	0	14	2	0	0	0	0
MAD2L2	0	0	1	0	0	0	10	0	0	0	0	0
MAP2K1	40	0	0	0	4	0	60	1	1	0	0	0
MAP2K4	0	16	13	2	1	1	43	13	0	0	13	0
MAP3K1	0	0	37	35	5	0	88	30	0	0	6	0
MAPK1	89	0	0	0	1	0	40	1	0	0	1	0
MAPK3	0	0	0	1	1	0	20	0	0	0	0	0
MAPK8	0	0	3	0	0	0	31	1	0	0	0	0
MAPRE1	0	0	3	0	1	0	11	1	0	0	1	0
MASTL	0	0	2	2	1	0	45	0	0	0	0	0
MAU2	0	0	0	0	1	0	27	2	0	0	2	0
MAX	0	0	3	1	1	0	27	2	0	0	1	1
MBD3	0	0	0	0	0	1	23	0	0	0	0	0
MBD4	0	0	1	0	1	0	26	1	0	0	0	0
MBIP	0	0	2	2	0	0	18	0	0	0	1	0
MCM10	0	0	3	1	0	0	60	3	0	0	2	0
MCM2	0	0	1	0	0	0	46	5	0	0	0	0
MCM3	0	0	2	0	1	0	41	4	0	0	1	0
MCM4	0	0	4	0	0	0	63	3	0	0	5	0
MCM5	0	0	0	0	0	0	45	2	0	0	3	0
MCM6	0	0	1	0	0	0	56	2	0	0	3	0
MCM7	0	0	1	1	1	0	59	9	0	0	2	0
MCM8	0	0	3	0	1	0	37	4	0	0	2	0
MCPH1	0	10	5	3	0	0	42	3	0	0	0	0
MCRS1	0	0	1	0	0	0	28	3	0	0	2	0
MDM2	0	0	2	0	1	0	31	2	0	0	1	0
MDM4	0	0	1	0	0	0	21	0	0	0	0	0
MEAF6	0	0	0	0	1	0	9	0	0	0	1	0
MECOM	0	0	7	1	1	0	157	9	0	0	3	0
MGA	0	0	26	5	2	0	179	45	0	0	4	0
MGMT	0	0	0	0	0	0	16	1	0	0	0	0
MINA	0	0	3	0	0	1	18	3	0	0	0	0
MIS12	0	0	2	1	0	0	6	1	0	0	0	0
MIS18A	0	0	0	0	0	0	8	1	0	0	0	0
MIS18BP1	0	0	6	2	0	0	49	2	0	0	2	0
MLH1	0	1	3	1	1	0	47	9	0	0	6	0
MLH3	0	0	5	3	0	0	57	4	0	0	1	0
MNAT1	0	0	2	1	0	0	9	1	0	0	0	0
MND1	0	0	1	0	0	0	11	2	0	0	0	1
MORF4L1	0	0	3	0	1	0	21	3	0	0	1	0
MORF4L2	0	3	0	0	0	0	24	2	0	0	0	0
MPG	0	0	1	0	0	0	20	0	0	0	0	0
MRE11A	0	0	1	0	0	0	34	2	0	0	3	0
MRGBP	0	0	0	0	0	0	19	0	0	0	1	0
MSH2	0	0	8	3	1	0	38	8	1	0	1	0
MSH3	49	0	0	0	0	0	43	7	0	0	5	0
MSH4	0	0	4	0	1	1	85	8	0	0	3	0
MSH6	0	0	8	4	6	0	55	12	0	0	0	0
MSL1	0	0	3	0	1	0	13	1	0	0	2	0
MSL2	0	0	3	1	0	0	36	3	0	0	0	0
MSL3	0	0	3	1	0	0	31	3	0	0	4	0
MTA2	0	0	6	0	0	0	41	2	0	0	3	0
MTA3	0	1	0	1	0	0	22	3	0	0	0	0
MTOR	49	0	0	0	1	0	194	9	0	0	2	0
MUS81	0	1	1	0	0	0	26	1	0	0	0	0
MUTYH	0	0	3	0	0	0	35	1	0	0	0	0
MYBL2	0	0	0	0	1	0	51	3	0	0	0	0
MYC	234	0	0	0	1	0	54	0	0	0	0	0
MZT1	0	0	0	0	0	0	6	0	0	0	0	0
MZT2A	0	0	1	0	0	0	7	1	0	0	0	0
MZT2B	0	0	0	1	0	0	5	2	0	0	0	0
NBN	0	0	6	2	0	0	39	4	0	0	2	0
NCAPD2	0	0	1	2	0	0	57	6	0	0	3	0
NCAPD3	0	0	4	1	0	0	87	3	0	0	3	0
NCAPG	0	0	1	2	0	0	34	4	0	0	0	0
NCAPG2	0	0	1	0	1	0	50	4	1	0	3	1
NCAPH	0	0	5	0	0	0	39	1	0	0	1	0
NCAPH2	0	1	0	1	0	0	33	2	0	0	6	0
NCOA1	0	0	2	0	1	0	84	9	0	0	2	0
NCOA2	0	0	10	1	1	0	92	11	0	0	1	0
NCOR1	0	5	14	10	2	0	167	30	0	0	12	0
NCOR2	0	0	18	10	3	0	155	7	0	0	2	0
NDC1	0	0	0	0	0	0	22	2	0	0	0	0
NDC80	0	0	6	0	0	0	46	5	0	0	2	0
NDE1	0	0	3	0	0	0	23	2	2	0	0	0
NDEL1	0	0	0	0	0	0	18	1	0	0	0	0
NEDD1	0	0	1	0	0	0	50	4	0	0	1	0
NEIL1	0	0	5	0	2	0	15	2	0	0	0	0
NEIL2	0	5	2	0	0	0	16	1	0	0	2	0
NEIL3	0	0	2	2	1	0	32	2	0	0	0	1
NEK2	0	0	1	0	0	0	29	3	0	0	2	0
NEK6	0	0	0	0	0	0	14	2	0	0	1	0
NEK7	0	0	2	2	0	0	13	1	0	0	1	0
NEK9	0	0	4	0	1	0	42	10	0	0	1	0
NF1	0	9	73	23	4	0	180	111	0	0	51	0
NF2	0	1	10	3	1	0	35	29	0	0	20	0
NFE2L2	64	0	0	0	12	1	203	4	0	0	0	0
NFKB1	0	0	2	2	0	0	41	5	0	0	2	0
NFKB2	0	0	2	0	1	0	42	3	0	0	3	0
NFRKB	0	1	5	0	1	0	54	2	0	0	2	0
NHEJ1	0	0	0	0	1	0	10	0	0	0	0	0
NHP2	0	0	1	0	0	0	12	0	0	0	0	0
NINL	0	0	12	0	0	0	111	4	0	0	0	0
NIPBL	0	0	35	9	4	0	174	28	0	0	11	0
NME7	0	0	2	1	1	0	26	2	1	0	0	0
NOTCH1	0	0	30	10	16	0	227	38	0	0	13	0
NOTCH2	0	0	14	5	0	0	133	17	0	0	7	0
NPLOC4	0	0	3	0	0	0	34	1	0	0	1	0
NPM1	0	0	0	0	1	0	17	0	0	0	1	0
NRAS	69	0	0	0	0	0	233	2	0	0	2	1
NSD1	0	2	38	14	2	0	175	47	0	0	8	0
NSL1	0	1	0	1	0	0	12	1	0	0	1	0
NTHL1	0	0	1	1	0	0	22	1	0	0	0	0
NUDC	0	0	1	0	1	0	13	3	0	0	1	0
NUF2	0	0	0	0	0	0	35	1	0	0	4	0
NUMA1	0	0	12	2	1	1	101	10	0	0	3	0
NUP107	0	0	2	2	0	0	62	6	0	0	1	0
NUP133	0	0	2	2	0	0	71	13	0	0	5	0
NUP153	0	0	2	1	1	0	85	4	0	0	2	0
NUP155	0	0	2	0	0	1	87	4	0	0	3	0
NUP160	0	0	2	3	0	0	61	8	0	0	4	0
NUP188	0	0	4	1	0	0	67	5	0	0	4	0
NUP205	0	0	7	0	1	0	116	13	0	0	10	0
NUP210	0	0	2	0	0	0	121	4	0	0	3	0
NUP214	0	0	6	3	0	0	106	6	0	0	2	0
NUP35	0	0	2	0	0	0	12	3	0	0	0	0
NUP37	0	0	2	0	0	0	19	0	0	0	1	0
NUP43	0	0	2	0	0	0	24	2	0	0	0	1
NUP50	0	0	2	0	0	0	22	1	0	0	0	0
NUP54	0	0	2	0	1	0	18	6	0	0	0	0
NUP62	0	0	1	0	3	0	37	1	0	0	0	2
NUP85	0	0	0	0	0	0	23	3	0	0	0	0
NUP88	0	0	0	2	0	0	31	0	1	0	2	0
NUP93	0	0	0	0	0	0	47	9	0	0	2	0
NUP98	0	0	3	0	1	1	98	3	0	0	3	0
NUPL1	0	0	0	1	0	0	40	2	0	0	1	0
NUPL2	0	0	2	0	0	0	28	1	0	0	0	1
ODF2	0	0	2	0	1	0	56	0	0	0	3	0
OFD1	0	0	1	0	0	0	56	6	0	0	2	0
OGG1	0	0	1	2	0	0	20	1	0	0	1	0
OGT	0	0	3	0	1	0	74	1	0	0	3	0
OIP5	0	0	0	0	0	0	12	2	0	0	0	0
OPTN	0	0	3	0	0	0	28	3	0	0	0	0
ORC1	0	0	3	0	0	0	41	2	0	0	1	0
ORC2	0	0	1	0	0	0	32	8	0	0	3	0
ORC3	0	0	3	1	0	0	27	6	0	0	2	0
ORC4	0	0	0	1	0	0	20	2	1	0	2	0
ORC5	0	0	1	1	1	0	22	2	0	0	3	0
ORC6	0	0	1	1	0	0	9	0	0	0	1	0
PADI1	0	0	2	1	0	0	59	1	0	0	0	0
PADI2	0	0	5	0	0	0	52	4	0	0	0	0
PADI3	0	0	2	0	0	0	70	3	0	0	1	0
PADI4	0	0	1	3	0	0	50	3	0	0	1	0
PADI6	0	0	0	0	0	0	0	0	0	59	0	0
PAFAH1B1	0	1	3	0	0	0	16	0	0	0	0	0
PALB2	0	0	5	0	0	0	63	7	0	0	1	0
PARG	0	0	2	0	0	0	19	1	0	0	0	0
PARP1	0	0	3	2	1	0	43	1	0	0	1	0
PARP2	0	0	0	0	0	1	31	1	0	0	1	0
PAX3	0	0	1	0	0	0	61	5	0	0	0	0
PAX5	0	0	3	1	0	0	48	2	0	0	3	0
PAXIP1	0	1	3	1	0	1	51	1	0	0	3	0
PBRM1	0	0	72	20	1	2	108	74	0	0	26	0
PCBP1	106	0	0	0	0	0	43	1	0	0	0	0
PCBP4	0	0	0	0	0	0	18	1	0	0	1	0
PCM1	0	1	1	2	1	0	58	8	0	0	2	0
PCNA	0	0	2	0	0	0	15	2	0	0	1	0
PCNT	0	0	10	2	0	0	180	15	0	0	3	0
PDS5A	0	1	4	3	0	0	64	4	0	0	2	1
PDS5B	0	5	11	0	1	0	78	10	0	0	1	0
PGR	0	0	6	2	4	0	83	13	0	0	2	0
PHF2	0	0	3	2	0	0	50	4	0	0	0	0
PHF20	0	0	1	0	0	0	65	4	0	0	2	0
PHF21A	0	1	4	1	0	0	28	0	0	0	3	0
PHLDA1	0	0	1	2	1	0	23	2	1	0	0	0
PIAS1	0	0	1	1	0	0	32	2	0	0	2	0
PIAS4	0	0	0	0	0	0	22	0	0	0	0	0
PIK3CA	440	0	0	0	33	0	1125	5	1	0	1	3
PIK3CB	0	0	2	1	1	0	76	9	0	0	2	0
PIK3CG	8	0	0	0	0	0	156	10	1	0	3	0
PIK3R1	0	0	29	17	76	16	84	26	0	0	38	0
PIK3R2	84	0	0	0	1	0	52	2	0	0	1	0
PKMYT1	0	0	3	0	0	0	17	1	0	0	0	0
PLK1	0	0	2	0	0	0	44	2	0	0	1	0
PLK4	0	0	1	2	0	0	43	2	1	0	3	0
PLXNB2	35	0	0	0	4	1	145	13	0	0	8	0
PMF1	0	0	0	0	0	0	6	1	0	0	1	0
PMS1	92	0	0	0	0	0	63	3	0	0	2	0
PMS2	0	0	2	2	2	0	51	5	0	0	5	0
PNKP	0	0	2	1	0	0	28	1	0	0	2	0
POLA1	0	0	0	2	0	0	72	3	0	0	4	0
POLA2	0	0	1	0	0	0	29	4	0	0	0	0
POLB	0	0	3	0	0	0	18	0	0	0	2	0
POLD1	0	0	5	1	2	0	74	4	0	0	1	0
POLD2	0	0	1	0	1	0	24	0	0	0	0	0
POLD3	0	0	2	0	0	0	22	1	0	0	0	0
POLD4	0	0	0	0	0	0	4	0	0	0	0	0
POLE	0	0	4	2	1	1	153	3	0	0	8	0
POLE2	0	0	1	0	1	0	13	0	0	0	1	0
POLE3	0	0	0	0	1	1	3	0	0	0	1	0
POLE4	0	0	0	0	0	0	2	1	0	0	1	0
POLH	0	0	3	1	0	0	26	0	0	0	3	0
POLI	0	3	1	0	0	0	29	4	0	0	0	0
POLK	0	0	1	0	0	0	38	2	0	0	2	0
POLL	0	0	0	0	1	0	24	2	0	0	2	0
POLM	0	0	5	1	0	1	29	2	0	0	0	0
POLN	0	0	1	1	1	0	56	3	0	0	0	0
POLQ	0	0	11	2	0	0	198	25	0	0	3	0
POLR2A	0	0	9	1	2	0	93	4	0	0	0	0
POLR2B	0	0	6	2	1	0	81	2	0	0	2	0
POLR2C	0	0	1	3	0	0	14	0	0	0	1	0
POLR2D	0	0	0	1	0	0	4	2	0	0	1	0
POLR2E	0	0	0	0	0	0	13	1	0	0	0	0
POLR2F	0	0	1	0	0	0	14	3	0	0	0	0
POLR2G	0	0	1	0	0	0	10	2	0	0	2	0
POLR2H	0	0	0	0	0	0	13	2	0	0	1	0
POLR2I	0	0	0	0	0	0	10	1	0	0	0	0
POLR2J	0	0	0	0	0	0	5	0	0	0	0	0
POLR2K	0	0	0	0	0	0	5	0	0	0	1	0
POLR2L	0	0	0	0	0	0	7	0	0	0	0	0
POM121	0	0	2	0	0	0	69	2	0	0	1	0
POM121C	0	0	2	1	0	0	33	1	0	0	0	0
POT1	0	0	1	0	0	0	73	3	0	0	3	1
PPIE	0	0	0	0	0	0	20	0	0	0	1	0
PPME1	0	0	1	0	0	0	9	0	0	0	1	0
PPP1CB	0	0	1	0	0	0	16	2	0	0	1	0
PPP1CC	0	0	2	0	0	0	12	3	0	0	0	0
PPP1R12A	0	0	2	2	0	0	47	3	1	0	2	0
PPP1R12B	0	0	2	0	1	0	49	4	0	0	5	0
PPP2CA	0	1	3	0	0	0	23	0	0	0	0	0
PPP2CB	0	1	0	1	0	0	17	4	0	0	0	0
PPP2R1A	81	0	0	0	1	0	130	1	0	0	1	0
PPP2R1B	0	1	1	0	1	1	32	0	0	0	2	0
PPP2R2A	0	3	1	1	1	0	25	5	0	0	3	0
PPP2R3B	0	1	9	0	0	0	30	0	0	0	3	0
PPP2R5A	0	0	6	1	0	0	23	3	0	0	2	0
PPP2R5B	0	0	2	0	0	0	38	1	0	0	0	0
PPP2R5C	0	0	4	1	0	0	34	2	0	0	3	0
PPP2R5D	0	0	0	1	1	0	42	3	0	0	1	0
PPP2R5E	0	1	3	0	0	0	29	2	0	0	0	0
PPP4C	0	0	0	0	0	0	21	1	0	0	0	0
PPP4R2	0	0	2	0	0	0	15	3	2	0	0	0
PPP5C	0	0	0	0	0	0	35	1	0	0	0	0
PRDM16	0	0	4	1	1	0	114	4	0	0	0	0
PRDM9	0	0	4	2	0	0	296	36	0	0	8	0
PRIM1	0	0	1	0	0	0	19	3	0	0	3	0
PRIM2	0	0	1	0	0	0	43	3	0	0	4	0
PRKACA	0	0	2	0	1	0	28	2	0	0	0	0
PRKAR2B	0	0	3	0	1	0	26	2	0	0	1	0
PRKCA	0	0	4	1	0	0	50	1	1	0	2	0
PRKCB	0	0	4	1	0	0	122	5	0	0	0	0
PRKDC	0	0	20	13	2	1	230	33	0	0	16	0
PRMT1	0	0	0	0	0	0	26	3	0	0	1	0
PRMT3	0	0	0	1	0	0	26	7	0	0	1	0
PRMT5	0	0	0	0	0	0	35	2	0	0	3	0
PRMT6	0	0	1	1	0	0	23	0	0	0	0	1
PRMT7	0	0	3	1	0	0	29	0	0	0	4	1
PRPF19	0	0	0	0	0	0	28	5	0	0	1	0
PSIP1	0	0	10	4	3	0	31	11	0	0	7	0
PSMA1	0	0	0	0	0	0	23	4	0	0	0	0
PSMA2	0	0	0	0	0	0	6	2	0	0	0	0
PSMA3	0	0	0	1	0	0	14	0	0	0	0	0
PSMA4	0	0	0	1	0	0	15	1	0	0	0	0
PSMA5	0	0	0	0	0	1	13	1	0	0	0	0
PSMA6	0	0	1	0	0	0	21	1	0	0	2	0
PSMA7	0	0	2	0	2	0	11	2	0	0	2	0
PSMA8	0	0	3	2	0	0	20	1	0	0	1	0
PSMB1	0	0	0	0	0	0	11	1	0	0	0	0
PSMB10	0	0	2	0	0	0	7	0	0	0	0	0
PSMB11	0	0	0	1	0	0	35	2	0	0	0	0
PSMB2	0	0	1	0	0	0	8	0	0	0	0	0
PSMB3	0	0	1	0	0	0	6	0	0	0	1	0
PSMB4	0	0	1	1	0	0	12	1	0	0	0	0
PSMB5	0	0	1	0	0	0	21	1	0	0	0	0
PSMB6	0	0	0	1	1	0	12	2	0	0	0	0
PSMB7	0	0	1	0	0	0	13	0	0	0	0	0
PSMC1	0	0	1	0	0	0	21	0	0	0	0	1
PSMC2	0	0	3	0	0	0	40	3	0	0	1	0
PSMC3	0	0	2	0	0	0	23	0	0	0	0	0
PSMC3IP	0	0	0	0	1	0	12	1	0	0	0	0
PSMC4	0	0	1	2	0	0	23	1	0	0	2	0
PSMC5	0	0	1	0	1	0	26	2	0	0	2	0
PSMC6	0	0	4	0	0	0	28	4	0	0	1	1
PSMD1	0	0	4	3	0	0	40	5	0	0	1	0
PSMD10	0	2	1	0	0	0	10	0	0	0	0	0
PSMD11	0	0	0	0	0	0	22	1	0	0	1	0
PSMD12	0	0	1	1	0	0	25	1	0	0	0	0
PSMD13	0	0	0	0	0	0	12	2	0	0	0	0
PSMD14	0	0	1	0	1	0	7	2	0	0	1	0
PSMD2	0	0	0	0	0	0	43	3	0	0	0	0
PSMD3	0	0	0	1	0	0	30	1	0	0	2	0
PSMD4	0	0	1	0	0	0	20	0	1	0	0	0
PSMD5	0	1	0	0	0	0	18	1	0	0	0	0
PSMD6	0	0	0	0	1	0	12	0	0	0	1	0
PSMD7	0	0	1	0	0	0	13	0	0	0	1	0
PSMD8	0	0	0	0	0	0	12	0	0	0	0	0
PSMD9	0	0	0	0	0	0	8	0	0	0	0	0
PSME1	0	0	0	0	1	0	10	0	0	0	0	0
PSME2	0	0	1	0	0	0	11	1	0	0	0	0
PSME3	0	0	0	0	0	0	14	2	0	0	0	0
PSME4	0	0	6	1	2	0	96	8	0	0	4	0
PSMF1	0	0	1	0	0	0	25	0	0	0	0	0
PTCH1	0	0	14	4	1	0	91	9	0	0	6	0
PTEN	0	122	171	80	16	1	341	155	0	0	56	1
PTK6	0	0	1	0	0	0	19	1	0	0	0	0
PTMA	0	0	1	1	1	0	6	4	13	0	1	0
PTPN11	58	0	0	0	0	0	54	2	0	0	1	0
PTTG1	0	0	1	0	0	0	8	0	0	0	1	0
RAB1A	0	0	0	0	0	0	9	1	0	0	0	0
RAB1B	0	0	2	0	0	0	9	1	0	0	0	0
RAB2A	0	0	1	0	1	0	10	1	0	0	1	0
RAB8A	0	0	1	1	0	0	17	0	0	0	0	1
RAC1	210	0	0	0	0	0	48	1	0	0	1	0
RAD1	0	0	1	0	0	0	13	3	0	0	0	1
RAD18	0	0	2	1	2	0	21	1	0	0	1	0
RAD21	0	0	4	1	2	0	58	5	0	0	2	0
RAD23A	0	0	3	0	1	0	18	2	0	0	1	0
RAD23B	0	0	1	0	2	0	20	2	1	0	1	0
RAD50	0	0	8	0	1	0	62	4	0	0	0	0
RAD51	0	0	0	0	0	0	16	1	0	0	0	0
RAD51AP1	0	0	0	0	0	0	24	0	0	0	0	0
RAD51B	0	0	2	0	0	0	18	1	0	0	1	0
RAD51C	0	2	3	1	0	0	26	2	0	0	1	0
RAD51D	0	0	0	0	0	0	9	1	0	0	0	0
RAD52	0	0	3	0	1	0	18	1	0	0	1	0
RAD9A	0	0	1	0	0	0	25	1	0	0	1	0
RAD9B	0	0	0	0	0	0	22	2	0	0	1	0
RAE1	0	0	2	0	0	0	24	1	0	0	3	0
RAF1	0	0	1	0	0	0	37	2	0	0	1	0
RANBP2	0	0	9	5	1	0	214	15	0	0	5	0
RANGAP1	0	0	0	0	0	0	20	0	0	0	0	0
RARA	0	0	0	1	1	0	38	0	0	0	0	0
RASA1	0	0	19	3	7	0	72	32	0	0	6	1
RB1	0	15	67	28	6	0	64	118	0	0	58	0
RBBP4	0	0	0	0	1	0	16	0	1	0	0	0
RBBP5	0	0	3	0	1	0	26	4	0	0	1	0
RBBP7	0	1	2	0	0	0	29	3	0	0	2	0
RBBP8	0	0	3	1	0	0	35	4	0	0	0	0
RBL1	0	0	3	0	0	0	68	7	0	0	3	0
RBL2	0	1	8	2	0	0	54	6	1	0	1	0
RBX1	0	0	0	0	0	0	6	1	0	0	0	0
RCC2	0	0	0	0	1	0	21	4	0	0	1	1
RCHY1	0	0	1	0	1	0	8	2	0	0	0	0
RCOR1	0	2	1	0	0	0	22	1	0	0	1	0
REC8	0	0	0	0	0	0	30	0	0	0	3	0
RELA	0	0	2	1	2	0	31	0	0	0	0	0
REST	0	0	1	1	0	0	50	9	0	0	0	0
REV1	0	0	5	4	1	0	60	3	0	0	2	0
REV3L	0	0	11	4	0	0	184	19	0	0	6	0
RFC1	0	0	6	2	3	0	45	2	0	0	2	0
RFC3	0	0	0	0	0	0	13	1	1	0	1	0
RFC4	0	0	2	2	1	0	35	3	0	0	2	0
RFC5	0	0	2	0	0	0	22	3	0	0	1	0
RFWD2	0	1	2	0	0	0	51	6	0	0	2	0
RHEB	0	1	0	0	0	0	17	2	1	0	1	0
RHNO1	0	0	0	0	0	0	10	2	0	0	0	0
RHOA	19	0	0	0	0	0	77	3	0	0	0	0
RIF1	0	0	3	1	1	1	121	9	0	0	7	0
RMI1	0	0	1	0	0	0	26	0	0	0	0	0
RMI2	0	0	0	0	0	0	6	0	0	0	0	0
RNF111	0	1	4	0	1	0	52	14	0	0	5	1
RNF168	0	0	2	2	0	0	39	2	0	0	1	0
RNF4	0	1	0	0	0	0	6	0	0	0	1	0
RNF43	0	0	57	7	1	0	54	16	0	0	5	0
RNF8	0	0	2	2	1	0	17	1	0	0	2	0
RPA1	0	1	0	0	0	0	32	1	0	0	2	0
RPA2	0	0	0	0	0	0	13	0	0	0	0	0
RPA3	0	0	0	0	0	0	9	2	0	0	0	1
RPA4	0	0	0	0	0	0	33	3	0	0	0	0
RPL22	0	1	48	5	1	0	9	3	0	0	0	0
RPL5	0	0	6	3	1	0	25	6	0	0	5	0
RPS2	0	0	0	0	0	1	19	2	0	0	0	0
RPS27	0	0	0	0	1	0	4	0	0	0	0	0
RPS27A	0	0	0	0	2	0	9	0	0	0	0	0
RQCD1	32	0	0	0	0	0	23	1	0	0	0	0
RRM2	0	0	2	0	2	0	18	0	0	0	1	0
RSF1	0	0	2	1	0	0	83	12	0	0	2	0
RTEL1	0	0	1	0	2	0	71	2	0	0	2	0
RUNX1	0	0	9	11	1	1	39	4	0	0	2	0
RUVBL1	0	0	1	0	0	0	21	4	0	0	1	0
RUVBL2	0	0	0	0	0	0	26	4	0	0	4	0
SAP130	0	0	5	0	2	0	54	3	1	0	2	0
SAP18	0	0	0	0	0	0	9	0	0	0	0	0
SAP30	0	1	0	0	1	0	9	0	0	0	0	0
SAP30L	0	2	0	0	0	0	5	0	0	0	0	0
SCAF4	0	0	23	3	3	0	80	17	0	0	6	0
SDCCAG8	0	0	2	1	0	0	60	3	0	0	3	0
SEC13	0	0	0	0	1	0	13	3	0	0	0	0
SEH1L	0	0	0	0	0	0	18	2	0	0	0	0
SET	0	0	1	1	1	0	16	0	0	0	1	0
SETBP1	32	0	0	0	0	0	168	5	0	0	3	0
SETD1A	0	0	1	0	1	0	103	6	0	0	1	0
SETD1B	0	0	26	2	0	0	51	1	0	0	2	0
SETD2	0	0	42	18	1	0	163	57	0	0	16	0
SETD3	0	0	2	0	0	0	25	2	0	0	3	0
SETD6	0	0	1	0	0	0	25	1	0	0	0	0
SETD7	0	0	1	0	0	0	15	2	0	0	1	0
SETD8	0	0	1	0	1	0	16	2	0	0	0	0
SETDB1	0	0	4	4	1	0	84	11	0	0	2	0
SETDB2	0	12	1	0	0	0	27	2	0	0	1	0
SF1	34	0	0	0	0	0	53	4	0	0	1	0
SF3B1	73	0	0	0	0	0	160	6	0	0	1	0
SFI1	0	0	6	1	0	0	50	6	0	0	1	0
SFN	0	0	1	0	0	0	11	2	0	0	0	0
SGOL1	0	0	2	2	0	0	29	1	0	0	0	0
SGOL2	0	0	10	1	3	0	71	4	0	0	3	0
SHFM1	0	0	0	0	0	0	5	0	0	0	0	0
SIN3A	0	0	6	3	5	0	85	16	0	0	1	0
SIRT6	0	0	1	0	0	0	14	3	0	0	0	0
SKA2	0	0	1	0	0	0	5	0	0	0	0	0
SKP1	0	0	0	0	0	0	13	0	0	0	0	0
SKP2	0	0	0	1	0	0	25	2	0	0	0	0
SLX1A	0	0	1	0	1	0	1	0	0	0	0	0
SLX1B	0	0	0	0	0	0	2	0	0	0	0	0
SLX4	0	0	7	1	2	0	114	7	0	0	0	0
SMAD2	0	4	3	1	0	0	36	14	0	0	1	0
SMAD4	0	34	12	9	6	0	128	40	0	0	3	1
SMARCA1	0	0	6	6	1	0	68	21	0	0	8	1
SMARCA2	0	9	1	1	1	0	127	4	0	0	4	0
SMARCA4	121	0	0	0	7	1	220	20	0	0	8	0
SMARCA5	0	0	1	0	1	0	49	1	0	0	1	0
SMARCB1	0	0	4	3	0	0	28	5	0	0	0	0
SMARCC1	0	0	3	1	2	0	49	4	0	0	3	0
