sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
SA515327	1	Linear	6:128147500-128457499
SA515327	2	Linear	8:48100000-144645718
SA541826	3	Heavily-rearranged	"1:1-121499999,1:142535602-249250620,2:55171-242951000,3:93900000-103694799,3:104529902-107187495,3:107193685-115417682,3:126537078-179442964,3:179447451-197868489,6:39681-58699999,6:63300000-171115066,7:40386-158821400,8:10001-43099999,8:48100000-146364021,9:115019505-140273200,10:95096-37999999,10:42427501-129490002,11:197337-51599999,11:77306254-134812855,13:1-48935221,13:49008936-115169877,16:38600000-90354752,18:27500-78077247,19:226776-18562437,20:24347-25599999,20:29587802-62432500"
SA541928	3	Linear	8:141898335-146364021
SA541928	4	Linear	1:160005573-164244174
SA541928	5	Linear	1:165446104-165681406
SA541928	6	Linear	1:153744476-159334494
SA507259	1	Heavily-rearranged	"20:15188412-62432500,X:84563468-84763871"
SA542246	1	Linear	1:143117961-149722499
SA542246	2	BFB	9:242501-47299999
SA542062	1	Linear	18:45400161-78077247
SA520252	1	Linear	18:22899613-23127867
SA520252	4	Linear	18:19558861-22182110
SA505271	111	Heavily-rearranged	"1:29382396-40963710,1:40975788-62781973"
SA505271	113	Circular	6:144535567-144719955
SA505271	117	Linear	1:118553899-121360938
SA505271	118	Linear	1:142761939-157787860
SA505271	122	Linear	8:42120912-43099999
SA505271	16	Linear	9:37367234-80591784
SA505271	36	Linear	X:123044228-123237491
SA505271	38	Heavily-rearranged	"1:104132617-104812575,1:106818442-115014473,1:219991235-249250620,2:171880651-210593128,2:235482753-235585442,7:89732622-95497810,11:68739871-71524381,12:110107-14621093,12:24052341-33299999,13:104580377-106085224,15:29832705-29853209,15:77779951-83941318,15:95568371-102438023,16:94036-14458367,21:10900000-30914137"
SA505271	39	Heavily-rearranged	"8:141233576-146364021,10:95074-37999999,18:4085425-29909058"
SA505271	45	Circular	"2:33031383-33251886,3:71831314-87899999,3:93900000-107728638,5:22500-37282614,7:64277620-88567500,8:63630041-99326033,13:106088687-113889475,19:50995761-51006265,20:57344322-62435800,GL000220.1:0-161802"
SA505271	48	Linear	17:57386290-69965282
SA505271	49	Linear	18:81802-4083991
SA505271	53	Heavily-rearranged	20:24772924-38936317
SA505271	57	Linear	"2:160064696-171830626,6:152413909-152895214"
SA505271	62	Heavily-rearranged	"6:252501-2793294,16:23968582-34599999"
SA505271	81	Linear	2:238476096-238616667
SA505271	87	Linear	3:149640049-163733479
SA505271	88	Linear	3:163754676-170687244
SA533643	1	Linear	18:69898533-69966514
SA533643	10	Linear	18:73156420-75376241
SA501393	10	Linear	8:124452431-126441733
SA501393	11	Linear	8:127617333-130840697
SA501393	12	Linear	8:134473448-135992041
SA501393	16	Linear	Y:17225094-18054259
SA501393	17	Linear	1:49226098-49540474
SA501393	18	Linear	8:88834225-90481802
SA501393	19	BFB	8:59493160-79058250
SA501393	3	Linear	8:98712008-98732587
SA501393	5	Linear	8:100157822-100220500
SA501393	6	Linear	8:103359511-109589144
SA501393	8	Heavily-rearranged	"8:81250046-88565727,8:91101556-96781139,GL000220.1:0-161802"
SA501393	9	Linear	8:110189326-115600730
SA543179	2	BFB	"8:79706093-146104522,14:25164961-65407794"
SA543179	3	Linear	4:40024-4560562
SA515444	1	Linear	8:101386706-101666452
SA514905	1	Linear	16:100010-90354752
SA514905	2	Linear	9:10001-140267500
SA530595	1	Linear	16:46398402-46472499
SA538920	11	Linear	7:25387175-35503408
SA538920	16	Circular	8:96349075-96428315
SA538920	17	Linear	8:101681859-101701583
SA538920	21	Linear	8:127546686-129090053
SA538920	39	Circular	12:63610448-92256120
SA538920	43	Heavily-rearranged	13:1-28561275
SA538920	44	Linear	17:58288035-58756734
SA538920	48	Linear	18:55136609-55170908
SA538920	49	Circular	18:56002692-56801139
SA538920	57	Linear	20:42719437-42757458
SA538920	59	Linear	1:13792500-21068775
SA538920	61	Circular	"11:77645962-93795635,11:93800740-109287500,11:122845129-135006515"
SA538920	64	Circular	1:58879932-59784978
SA538920	68	Linear	1:66463767-66484418
SA538920	70	Linear	2:42283-4993188
SA538920	72	Linear	2:11301201-25819898
SA538920	76	Linear	2:156492078-156520463
SA538920	83	Circular	3:172402026-172429224
SA538920	86	Linear	3:184486669-184541930
SA538920	90	Linear	5:158101146-159622332
SA505919	13	Linear	8:95385335-96374133
SA505919	3	Linear	3:168595847-168648862
SA505919	4	Circular	8:104950923-145745612
SA505919	5	Circular	7:140109625-158821400
SA505919	6	Linear	1:234601754-234822933
SA413524	2	Heavily-rearranged	"2:33041177-33251504,7:15752-158817500"
SA529823	1	Circular	"1:143645109-249250620,19:29096435-59128982"
SA529823	2	BFB	X:128261443-154913600
SA541926	1	Linear	11:117817526-129126874
SA541926	10	Circular	11:98579684-99464950
SA541926	11	Linear	4:55393173-58937919
SA541926	12	Linear	18:8969307-9404509
SA541926	3	Linear	11:104952983-105056539
SA541926	4	Linear	18:329522-2079505
SA541926	5	Linear	11:102818857-102847014
SA541926	6	Linear	18:2090221-2158014
SA541926	7	BFB	"11:87904874-87915525,11:116814646-116840662,11:116975715-117592999,11:129378567-133798883,11:134034974-134707311"
SA541926	9	Linear	4:59335552-61518984
SA538917	15	Linear	10:35188968-86126031
SA538917	16	Circular	"8:58820648-95934225,12:53810015-110855041"
SA538917	24	Heavily-rearranged	"3:131494852-188151054,11:40144507-40345001"
SA538917	25	BFB	7:40386-108908528
SA538917	35	BFB	"1:174416017-249250620,2:20016-127327178"
SA538917	38	Heavily-rearranged	"7:154991043-158255009,16:120000-50789877"
SA538917	43	Linear	22:1-35853043
SA538917	51	Linear	19:35551465-39272511
SA538917	53	Linear	21:10900000-14299999
SA538917	54	Linear	1:155881044-174017572
SA538917	56	Linear	"7:128294050-131012279,9:47500-106971722"
SA538917	60	Linear	7:133652085-145847933
SA538917	61	Linear	7:146227304-151326960
SA538917	7	Linear	1:113586794-155811924
SA270456	4	BFB	"1:44049594-44060132,12:46223298-117436024,12:125780537-125801076"
SA270456	5	Linear	"8:48100000-141910558,10:6868056-6878595,GL000220.1:0-161802"
SA533666	1	Linear	17:59646364-62965412
SA533666	2	Linear	17:48924950-49341486
SA533666	4	Linear	"8:123722555-136940048,X:4060055-4260776"
SA533666	5	Circular	9:24758856-29003019
SA533666	7	Linear	8:48100000-54980317
SA533666	8	Linear	18:12803758-13195807
SA533752	9	Linear	6:57971818-58061167
SA501422	1	BFB	1:151279475-245852794
SA517269	2	Linear	17:17850011-81129883
SA528989	4	Linear	13:30029204-31981259
SA533743	1	Heavily-rearranged	19:28600000-39976037
SA529741	10	Heavily-rearranged	"6:32440295-32493575,6:32504425-32527042,6:32542694-32563213,8:103295794-132122547"
SA529741	12	Linear	1:143389314-150083953
SA558645	13	Linear	2:54842534-54901133
SA558645	18	Linear	2:220066510-220142497
SA558645	4	Linear	14:24512501-24915270
SA558645	5	Linear	6:31541929-32049415
SA558645	7	Linear	12:57856283-57976509
SA558645	8	Linear	19:9009161-9090073
SA558645	9	Linear	2:179339981-179637860
SA529751	4	Circular	"7:42038-32684989,7:32821991-57999999,7:61879448-158821400"
SA544288	1	BFB	1:143502500-248850035
SA499802	1	Heavily-rearranged	"3:181725809-181926159,11:40144508-40344858,15:1-102399919"
SA499802	2	BFB	"1:41330007-249250620,5:0-180689978,8:93869965-146364021,16:100010-90354752,17:1389-81195209,20:25254-62432500,GL000220.1:0-161802"
SA499802	3	BFB	7:40386-158821400
SA499802	4	Linear	19:102500-59128982
SA499802	5	BFB	10:108099-135423768
SA499802	7	BFB	13:1-115169877
SA499802	8	Linear	14:19100000-20375050
SA557543	1	Linear	1:119640012-120655546
SA557543	2	Linear	1:144543803-144957499
SA515373	1	Linear	8:48100000-146364021
SA411549	2	Circular	2:143884374-144331582
SA411549	3	Heavily-rearranged	"2:33041297-33241948,8:77164467-97490654,GL000220.1:0-161802"
SA538905	7	Linear	X:66006122-66097537
SA533718	1	Linear	9:32861949-34047537
SA533718	12	Linear	22:31863664-32184847
SA533718	13	Linear	22:40401371-40508501
SA533718	15	Linear	22:42550884-42671575
SA533718	16	Linear	22:46059239-46391404
SA533718	18	Linear	22:48115536-48179151
SA533718	19	Linear	1:120061735-120659039
SA533718	2	Linear	5:145519578-146298282
SA533718	20	Linear	22:49194776-49214671
SA533718	22	Linear	9:27939341-29130035
SA533718	23	Linear	5:148459987-150224918
SA533718	24	Heavily-rearranged	"5:170510914-170531739,5:173491859-173502685,5:176279246-177496648"
SA533718	25	Heavily-rearranged	"1:230987801-231008626,19:32976636-39591967"
SA533718	3	Linear	19:39884624-41591086
SA533718	5	Linear	20:10959735-11100672
SA505297	1	Linear	8:75768628-76689055
SA505297	11	Circular	"8:112882166-146364021,11:73539644-107523050"
SA505297	12	Linear	11:120749043-120769257
SA413518	1	Linear	3:38366622-39027418
SA413518	2	Linear	8:22642653-22730351
SA413518	3	Linear	8:23147410-23697341
SA413518	4	Circular	"3:111174085-111384479,8:128222274-128880362"
SA501428	2	BFB	"12:10722292-10732991,13:96965243-115169877"
SA501575	1	Linear	6:63517256-65576105
SA501575	2	Circular	"8:48100000-146364021,11:38812061-38822668,GL000220.1:0-161802"
SA413934	4	Linear	7:52705488-158817500
SA544109	1	BFB	7:40386-57999999
SA533716	6	Linear	9:37289022-37685257
SA520181	1	Linear	19:39027132-41057698
SA520181	3	Linear	11:29671463-33451988
SA520181	4	Linear	19:14302778-14608893
SA542111	1	Linear	2:58084474-61557479
SA544083	1	Circular	"4:30532414-30543092,5:0-180915259,GL000220.1:0-161802"
SA541822	5	BFB	6:92215192-107803119
SA413322	1	Linear	7:81922629-158817500
SA557539	3	BFB	1:128900000-249250620
SA557539	5	BFB	9:47500-97020959
SA529737	1	Heavily-rearranged	"6:39681-68667873,9:107812234-107822762"
SA529737	3	Linear	8:79205118-145833639
SA529737	4	BFB	"1:161642271-249250620,2:799345-809873"
SA529737	6	Linear	1:144596002-161508087
SA528798	1	Linear	13:38690001-39220045
SA528798	13	Linear	11:122707092-122728761
SA528798	18	Linear	13:33120066-33545183
SA528798	20	Linear	13:39560001-41813765
SA528798	21	Linear	13:41814880-41928537
SA557361	14	Linear	11:74639894-74970061
SA557361	3	Circular	"6:39681-67335125,11:20721-47594126,11:51106402-51487990,11:55700000-57815073,11:69339983-73410159,11:76732367-79461886,11:80973958-81083587,12:110107-13520594,12:13538886-133851894,20:17500-54035680,20:54236275-62432500,22:1-51304565,GL000199.1:0-134535"
SA557361	7	Linear	3:137286064-197856177
SA557361	9	Linear	1:144920087-149231802
TCGA-02-2483-01	1	Heavily-rearranged	"10:103236102-103516230,10:128476738-128900627"
TCGA-02-2483-01	2	Heavily-rearranged	"5:135066352-135067009,8:110710472-145122093"
TCGA-02-2483-01	3	Heavily-rearranged	"10:83136137-83236794,10:123127184-123466342"
TCGA-02-2483-01	4	Heavily-rearranged	"1:9588162-9981194,10:64955517-65212708,10:70458319-70769244,10:73924180-74357119,10:102866916-103079752,10:108233493-108434150,10:121052199-121265595,10:126042147-126277577,10:127630508-127831165,10:130688493-130898526,10:131466275-131692128,18:421475-422132"
TCGA-02-2485-01	2	Circular	"1:25176785-25177370,1:242051351-248158325,4:54520674-56217618,4:119374222-119394806,4:119415244-119480096,10:38520087-38638126,12:56887490-60802833,15:39994039-40014624,Y:13867191-13887775,Y:13908765-13974639"
TCGA-02-2485-01	3	Circular	"7:47633248-47866053,7:49015950-57398302,7:62875263-63134706,7:63178019-63408603,GL000220.1:0-161802"
TCGA-04-1331-01	2	Linear	6:2182071-2380537
TCGA-04-1347-01	10	Linear	6:97633706-115890229
TCGA-04-1347-01	11	Linear	14:26306759-26695389
TCGA-04-1347-01	2	Linear	3:162805620-197538677
TCGA-04-1347-01	3	Circular	"6:56075202-57446485,8:71312963-71313719"
TCGA-04-1347-01	5	Heavily-rearranged	"6:62321761-62369706,6:86246040-86246796,6:86504623-86505379"
TCGA-04-1347-01	7	Linear	6:84561721-86232987
TCGA-04-1347-01	8	Linear	6:86346710-86465602
TCGA-04-1347-01	9	Linear	6:94133926-95841232
TCGA-04-1349-01	10	Linear	8:55191082-55227578
TCGA-04-1349-01	11	Linear	8:55228080-55344415
TCGA-04-1349-01	12	Heavily-rearranged	"19:15167073-15167832,19:15760576-19243212,19:19924942-19925701"
TCGA-04-1349-01	14	Heavily-rearranged	"8:35110688-37911088,8:37943545-55189254,8:55344475-145232496,11:38792664-38813422,12:20706405-20707164"
TCGA-04-1349-01	16	Linear	19:10178494-10885031
TCGA-04-1349-01	19	Linear	19:19875914-19924236
TCGA-04-1349-01	4	Linear	19:12895767-14626197
TCGA-04-1349-01	8	Linear	8:33584660-33828847
TCGA-04-1349-01	9	Linear	8:37911629-37941867
TCGA-04-1514-01	1	Linear	17:74985471-80606314
TCGA-04-1514-01	3	Linear	3:172445735-187806428
TCGA-04-1514-01	5	Linear	6:105246696-105717556
TCGA-04-1514-01	7	Linear	11:31718825-32061769
TCGA-04-1542-01	10	Linear	19:28240493-31734701
TCGA-04-1542-01	3	Linear	19:19023852-19946091
TCGA-04-1542-01	8	Linear	18:29873929-30563952
TCGA-04-1542-01	9	Linear	19:13430323-14123115
TCGA-05-4389-01	3	Linear	8:40399720-43083372
TCGA-05-4390-01	1	Linear	"2:85812898-86085456,5:137305459-137345843,5:137349835-137350220,5:160226615-160301180,9:90329935-91268118"
TCGA-05-4390-01	2	Linear	9:93372609-94361400
TCGA-05-4395-01	2	Heavily-rearranged	"12:889901-12274935,12:12874656-32776363"
TCGA-05-4395-01	3	Linear	7:94903139-95073715
TCGA-05-4395-01	6	BFB	"6:12619125-12865967,7:76746806-76747386,7:76791515-76792095,7:95098002-103762029,19:7304491-7347570"
TCGA-05-4396-01	1	BFB	"1:59485375-63875389,1:71371749-71572649,1:107077894-107078491"
TCGA-05-4396-01	11	Heavily-rearranged	"1:92629343-92629940,1:93515976-107075378"
TCGA-05-4396-01	2	Linear	"18:14349757-14660482,18:22210667-23717607"
TCGA-05-4396-01	3	Linear	1:90849088-92624817
TCGA-05-4396-01	4	Linear	1:115183350-120521760
TCGA-05-4397-01	2	Circular	"3:168628195-197538677,5:1603319-1623845,X:96262455-96262982"
TCGA-05-4397-01	7	Linear	"1:11362379-11362906,13:93103762-98754526"
TCGA-05-4397-01	9	Linear	"3:127537019-127537546,13:98755188-114987458"
TCGA-05-4398-01	2	Linear	8:80006800-82502578
TCGA-05-4402-01	3	Circular	5:0-6073555
TCGA-05-4402-01	5	Heavily-rearranged	"7:52199951-55742981,7:62082709-62284557,7:63529005-63815461,7:64314094-64514564,7:69860890-70640950"
TCGA-05-4405-01	3	Heavily-rearranged	"12:100987590-101418102,20:30647561-31066998,20:38641489-38990380"
TCGA-05-4405-01	5	Heavily-rearranged	"15:50735655-50736217,20:32799226-32835939,20:32856751-33209228,20:37577938-37784367,20:40303325-40539618,20:41359092-41641402"
TCGA-05-4415-01	3	Linear	7:32745202-39115245
TCGA-05-4415-01	5	Heavily-rearranged	"7:2116077-2316662,7:50707649-63128931,20:25648286-25848871,20:25954990-26185574"
TCGA-05-4417-01	1	Circular	4:25674054-28192494
TCGA-05-4420-01	2	BFB	"1:21383375-21603879,1:209468004-209488508,2:212517434-212537939,7:92641787-92682291,11:18631889-18837112,11:113804495-113825000,14:57174176-57214680"
TCGA-05-4422-01	1	Linear	8:77734362-78054417
TCGA-05-4422-01	10	Linear	8:124290873-124351679
TCGA-05-4422-01	11	Circular	"8:112768557-113110712,8:113209073-113209654,8:115382533-115512490,8:118829180-119322587,8:121789884-121790465,8:123745065-123745646,8:125368034-137666728,8:141619235-141619816,14:22221695-22222276,14:65173790-65174371,20:57504205-57504786,20:62019802-63025520,X:142972780-142973361"
TCGA-05-4422-01	12	Linear	8:142003917-142403589
TCGA-05-4422-01	3	Linear	8:95520408-95556443
TCGA-05-4422-01	4	Linear	8:95576349-95768796
TCGA-05-4422-01	5	Linear	14:39903763-40029339
TCGA-05-4422-01	6	Heavily-rearranged	"8:74113872-76521635,8:78578830-79172542,8:79184181-79184762,8:97037458-105012306,8:138344324-139307573"
TCGA-05-4422-01	7	Linear	22:42426463-42636342
TCGA-05-4422-01	9	Linear	"20:52365279-52546089,20:55573804-57503753"
TCGA-05-4426-01	1	Linear	5:6256177-12652688
TCGA-05-4426-01	5	Heavily-rearranged	"4:80893857-80894418,5:17300132-22503944"
TCGA-05-4426-01	8	BFB	"5:27355669-29700305,5:29965935-45298889,5:73152976-73173537,7:8643324-8663884,9:5930757-6131317,9:8621676-8660780,9:30267577-30268138,9:30358652-30379212"
TCGA-05-4432-01	2	Circular	"1:120522600-153617773,9:140772249-140885654"
TCGA-05-4433-01	1	Heavily-rearranged	11:67913102-71830715
TCGA-05-4433-01	2	Linear	12:25417142-26385379
TCGA-05-4433-01	3	BFB	"3:130352530-130353075,5:66519543-66520088,12:64370834-64391379,12:64741215-71345829"
TCGA-05-4434-01	1	Linear	20:52488869-52694937
TCGA-05-5715-01	1	Linear	"1:151604846-151805348,1:187292607-188524302"
TCGA-05-5715-01	3	Circular	1:209345846-209444829
TCGA-05-5715-01	5	Circular	"1:153573170-153773672,1:154838608-155039110,1:156428944-156733590,1:174237964-174692063,1:189071238-189071741,1:220530914-224185716,1:247330432-247350934,2:42987554-42988057,2:58078288-58078791,4:151316265-151316768,5:14339820-14540322,5:168051461-168051964,8:90650885-90651388,11:115194362-115194865,13:19872514-19893016,16:73184888-73185391,19:21452065-21452568,19:39556629-39557132,X:10040909-10041412"
TCGA-06-0125-01	6	Circular	7:54733063-55408485
TCGA-06-0128-01	6	Circular	12:58049523-58728087
TCGA-06-0152-01	2	BFB	"7:54329983-55487522,12:62450035-62660568,12:63199781-63200314,12:65892579-65893112"
TCGA-06-0152-01	3	Circular	"12:58030230-58278721,12:64406148-64811726,12:65415047-65738486,12:68410054-68646416,12:68920860-70279998,12:70478646-70774110,15:59880275-59880808"
TCGA-06-0155-01	2	Linear	4:53223513-56887618
TCGA-06-0155-01	3	Circular	7:53627233-55933762
TCGA-06-0157-01	3	Circular	12:3159148-4532076
TCGA-06-0157-01	4	Circular	"1:203934006-205333036,2:49212347-49212862,2:85045135-85045650,3:98554791-98555306,4:151369470-151369985,7:54584027-55623571,12:57833907-58811318,X:19254428-19254943,X:143761128-143761643,GL000220.1:0-161802"
TCGA-06-0210-01	1	Circular	"1:203177968-204957662,4:54340556-55847618,6:100688973-100689472,X:11692809-11693308,X:30639532-30640031"
TCGA-06-0210-01	2	Linear	13:108599123-109674994
TCGA-06-0210-01	3	BFB	"2:4813976-5114749,2:5130682-5491386,2:5844046-6092517,2:7047972-7305114,13:103498984-103836012,13:112590637-112830828"
TCGA-06-0210-01	4	Linear	14:100395822-100419099
TCGA-06-0211-01	3	Circular	4:54237924-55762119
TCGA-06-0211-01	6	Circular	"1:154210403-154211045,2:33041046-33241688,3:98554632-98555274,7:53437686-57065330,7:57477218-57497860,7:65160992-65361633,X:107239933-107240575"
TCGA-06-0214-01	1	Circular	7:54570235-55415350
TCGA-06-0214-01	2	Linear	12:69009663-69484482
TCGA-06-0214-01	4	Linear	4:53847924-55556788
TCGA-06-0221-01	1	Heavily-rearranged	"7:26484596-26911919,7:67894756-68273255,7:73564114-73820788,7:91643149-92625840"
TCGA-06-0221-01	10	Linear	12:10098462-10362261
TCGA-06-0221-01	11	Linear	12:21463478-21883604
TCGA-06-0221-01	12	Linear	12:31412668-31674523
TCGA-06-0221-01	13	Heavily-rearranged	"4:18419546-18420085,12:49120201-53329733,12:54711774-55064313,12:57712149-59636982,12:63851424-64154555,12:71885747-72465106,12:76934045-76934584,12:96233950-96531489,12:110672416-110672955,12:114042493-114782434,12:127898104-128282039,12:131497053-131821635,12:131886639-131887178,12:131924242-131924781,X:155160079-155270560"
TCGA-06-0221-01	16	Linear	12:123058513-123261808
TCGA-06-0221-01	18	Linear	12:68784772-68934636
TCGA-06-0221-01	2	Linear	12:76661399-76928975
TCGA-06-0221-01	3	Heavily-rearranged	"4:91554454-92048961,7:39560532-39871064"
TCGA-06-0221-01	4	Linear	4:131567813-132069505
TCGA-06-0221-01	5	Heavily-rearranged	"7:10826575-11146199,7:94022783-94297472"
TCGA-06-0221-01	6	Heavily-rearranged	"5:58968187-58988725,7:80250625-80897964"
TCGA-06-0221-01	7	Linear	4:53295126-56657189
TCGA-06-0221-01	8	Linear	12:3955140-5820678
TCGA-06-0648-01	2	Circular	"9:136844199-136844735,12:67098111-70102224,22:50079770-50800426"
TCGA-06-0686-01	1	Circular	"5:75469006-75489034,6:43164275-49011068,12:57385232-58305438,12:62717675-64132387,12:66177404-70096661"
TCGA-06-0744-01	1	Circular	7:54635122-55464891
TCGA-06-0744-01	10	Linear	9:102644329-102948997
TCGA-06-0744-01	2	Linear	4:1583095-2110662
TCGA-06-0744-01	4	Linear	9:86486432-86703557
TCGA-06-0744-01	6	Heavily-rearranged	"9:80010163-80436330,9:83147653-83452214,9:103536604-103801852"
TCGA-06-0744-01	7	Linear	9:104058293-104313928
TCGA-06-0745-01	1	Circular	7:53481663-55919326
TCGA-06-0877-01	3	Circular	7:54561844-55505350
TCGA-06-0881-01	2	Circular	7:54050784-56138302
TCGA-06-2557-01	2	Circular	"1:83869486-83880374,1:83906015-83906595,1:83931895-83965636,1:148175098-148195678,7:4155557-4408777,7:4682592-4703171,7:5340683-5746672,7:32986977-33060436,7:49840032-63141038,7:64448279-64673679,7:65132069-65392649,7:72270284-77295789,7:79594833-80900223,7:90935951-94897653,7:157317878-157318458,20:25661610-25782189,20:26035419-26055999,20:26068021-26088601,X:9446834-9447414"
TCGA-06-2570-01	1	Circular	"12:57672720-59746377,X:76361403-76362001"
TCGA-06-5411-01	2	Heavily-rearranged	"1:156468444-158932996,1:203179285-205069826,1:205229142-205429716,8:20360650-20361224,15:29464856-29465430,X:135673043-135673617"
TCGA-06-5415-01	2	Circular	7:54382320-55595350
TCGA-06-5415-01	4	Linear	12:125218939-125229347
TCGA-06-5415-01	5	Circular	14:104862453-105352271
TCGA-09-1666-01	1	Linear	2:236952593-237273843
TCGA-09-1666-01	13	Linear	5:21392334-22599163
TCGA-09-1666-01	14	BFB	5:914232-11814380
TCGA-09-1666-01	17	Linear	5:13522322-15331400
TCGA-09-1666-01	18	Linear	5:15333852-21312213
TCGA-09-1666-01	4	Linear	5:11823086-13521603
TCGA-09-1666-01	8	Linear	7:119860348-119870414
TCGA-09-1666-01	9	Linear	4:39394752-39458765
TCGA-09-2045-01	1	Linear	2:20328893-20405277
TCGA-09-2045-01	3	Linear	14:102300804-102726067
TCGA-09-2045-01	4	Linear	2:42448892-42664403
TCGA-09-2045-01	6	Linear	7:132326436-133261820
TCGA-09-2045-01	7	Linear	10:415239-809567
TCGA-09-2045-01	8	Linear	10:855106-913837
TCGA-09-2045-01	9	Linear	10:1543491-1563506
TCGA-09-2050-01	1	Linear	3:159557054-178996626
TCGA-09-2050-01	2	Linear	3:154568710-159551651
TCGA-09-2050-01	4	Linear	8:119241738-130397821
TCGA-09-2050-01	5	Linear	12:889901-4504875
TCGA-09-2050-01	6	Linear	19:35199727-38872859
TCGA-10-0934-01	12	Linear	2:73309591-74146977
TCGA-10-0934-01	13	Linear	3:169479583-197538677
TCGA-10-0934-01	14	Linear	2:74150255-74994417
TCGA-10-0934-01	15	Linear	2:97301306-97380561
TCGA-10-0934-01	16	Linear	3:169279468-169464942
TCGA-10-0934-01	6	Circular	3:13595208-13835157
TCGA-10-0937-01	1	Linear	"8:71875180-93228640,GL000220.1:0-161802"
TCGA-10-0937-01	10	Linear	8:70211571-70952739
TCGA-10-0937-01	13	Linear	8:70963431-71101418
TCGA-10-0937-01	2	Linear	8:93237314-95556443
TCGA-10-0937-01	3	Linear	15:100195219-101884307
TCGA-10-0937-01	4	Linear	"19:24498161-24698927,X:22063591-42966447"
TCGA-10-0937-01	5	Circular	8:95578348-133446503
TCGA-10-0937-01	6	Heavily-rearranged	"1:79092860-79093626,6:6311823-6312589,6:6598883-11133062,6:14252458-14273223,7:131900169-134850812"
TCGA-10-0937-01	9	BFB	"7:102868608-102869374,8:67639827-70206603"
TCGA-10-0938-01	1	Circular	"11:66179780-74530015,11:79387383-83535020,17:6463967-6464552,GL000202.1:0-40103"
TCGA-10-0938-01	2	Heavily-rearranged	"12:789901-9342725,X:67213010-67213595"
TCGA-10-0938-01	3	Heavily-rearranged	"4:33859008-33859593,7:57674837-57715422,20:455763-36324206,X:69102172-69102757,X:128670379-128670964"
TCGA-10-0938-01	5	Linear	20:40360783-62219837
TCGA-10-0938-01	6	Linear	20:36325846-40359519
TCGA-10-0938-01	7	Linear	21:31379553-31528777
TCGA-13-0723-01	14	Linear	11:72816818-78953878
TCGA-13-0723-01	15	Linear	11:84735335-86850511
TCGA-13-0723-01	16	Linear	11:86850735-91208453
TCGA-13-0723-01	18	Linear	11:91208594-91237099
TCGA-13-0723-01	19	Circular	14:77401980-77823185
TCGA-13-0723-01	20	BFB	18:119585-2403347
TCGA-13-0723-01	21	BFB	19:28820901-37338721
TCGA-13-0723-01	5	Heavily-rearranged	"3:103783699-110568913,3:110617979-120730013"
TCGA-13-0723-01	7	Linear	21:45276006-45627976
TCGA-13-0727-01	10	Linear	20:40360783-62219837
TCGA-13-0727-01	11	Heavily-rearranged	"7:57607401-57627953,7:57662420-57702971,20:15968879-40359519"
TCGA-13-0727-01	2	Linear	7:35052917-35095245
TCGA-13-0727-01	3	Linear	20:1621685-15960144
TCGA-13-0727-01	7	Linear	19:28240493-29832398
TCGA-13-0727-01	8	Linear	19:29832414-30468661
TCGA-13-0727-01	9	Linear	20:455763-1619164
TCGA-13-0751-01	1	Linear	1:207913133-208247654
TCGA-13-0751-01	2	Linear	1:203458277-203519084
TCGA-13-0751-01	3	Linear	17:77714436-78046594
TCGA-13-0751-01	4	BFB	"1:208249313-247813706,4:119464057-119464609,10:38581268-38581820,10:38632072-38632624"
TCGA-13-0751-01	6	Linear	8:36491236-38457105
TCGA-13-0751-01	8	Linear	9:4165519-4439526
TCGA-13-0751-01	9	Linear	19:30264315-30519017
TCGA-13-0890-01	2	Circular	"10:8707200-15718142,10:38530297-38530715"
TCGA-13-0890-01	4	Linear	10:63435326-67360621
TCGA-13-0906-01	2	Linear	3:185584536-185677818
TCGA-13-0906-01	4	BFB	"6:85096483-94475144,20:52021063-52021625"
TCGA-13-0912-01	10	Linear	19:15351572-15594458
TCGA-13-0912-01	11	Linear	19:15608739-16489057
TCGA-13-0912-01	12	Linear	19:16492437-17396761
TCGA-13-0912-01	13	Linear	19:17405713-17981810
TCGA-13-0912-01	4	Linear	12:889901-9784005
TCGA-13-0912-01	5	Linear	12:9788571-11799341
TCGA-13-0912-01	6	Linear	12:23681424-23701978
TCGA-13-0912-01	7	BFB	"12:11812718-22408694,12:24759287-25536178"
TCGA-13-0912-01	9	Linear	17:64744312-65032893
TCGA-13-1411-01	3	Linear	19:35255198-41558271
TCGA-13-1411-01	4	Linear	12:22884475-25999415
TCGA-13-1411-01	6	Linear	18:21281846-38277115
TCGA-13-1487-01	3	Linear	11:12698800-13090444
TCGA-13-1487-01	4	Linear	11:13124257-13806110
TCGA-13-1487-01	5	Linear	17:46358826-46805067
TCGA-13-1487-01	6	Linear	20:32871549-32922988
TCGA-13-1491-01	11	Linear	19:16074434-16443954
TCGA-13-1491-01	12	Linear	10:114508693-114814861
TCGA-13-1491-01	13	Linear	19:28140493-31284806
TCGA-13-1491-01	14	Linear	19:17244877-17848705
TCGA-13-1491-01	15	Linear	19:10490887-12040283
TCGA-13-1491-01	16	Linear	19:15296306-15564716
TCGA-13-1491-01	2	Linear	1:43917917-44342532
TCGA-13-1491-01	3	Linear	19:12042744-15293877
TCGA-13-1491-01	4	Linear	10:415239-488151
